President and Vice President of the United States - Vote For One - ,,,,,,,,,,,,,,,,,,,,
,Bill Clinton/Albert Gore Jr. (Democratic) Winner,George Bush/Dan Quayle (Republican),Ross Perot/James Stockdale (Independent),Andre Marrou/Nancy Lord (Libertarian),Lenora B Fulani/Maria Elizabeth Munoz (Alliance),Don Allenworth (Democratic),Willie Felix Carter (Democratic),Lyndon H. LaRouche Jr. (Democratic),Howard Phillips (Taxpayers),John Hagelin (Natural-Law),David Marshall Borkenhagen (Other),Thomas L. Chapman (Other),Ron Daniels (Other),Stephen Falcone (Other),Bo Gritz/Cy Minett (Other),Robert Edward Haines (Other),Americus Liberator (Other),George Muzyk (Other),Roy Wayne Tyree (Other),James A. Warren (Other)
Allegany,11501,13862,5081,123,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anne Arundel,68629,81467,35191,232,92,0,0,4,0,13,0,0,5,0,0,0,0,0,0,1
Baltimore City,185753,40725,17381,593,593,0,0,3,1,8,0,0,13,0,4,0,0,0,0,13
Baltimore ,143498,126728,51757,999,231,0,0,0,0,1,0,0,2,0,4,0,0,0,0,0
Calvert,8619,10026,4499,47,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caroline,2822,3856,1729,16,34,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
Carroll,15447,28405,10965,69,23,0,0,1,8,3,0,0,0,0,8,0,0,0,0,0
Cecil,10232,10784,6115,117,65,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
Charles,14498,17293,6501,46,111,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0
Dorchester,3933,4934,2010,71,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frederick,21848,31290,11373,131,34,0,0,0,4,2,0,0,4,0,5,0,0,0,0,0
Garrett,2856,5714,1987,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harford,27164,36350,17002,116,45,0,0,1,0,5,0,0,1,0,3,0,0,0,0,0
Howard,44763,38594,16182,146,86,0,0,3,1,9,0,0,9,0,2,0,0,0,0,3
Kent,3093,3094,1411,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery,199757,119705,41971,702,276,0,0,5,4,130,0,0,56,0,2,0,0,1,0,4
Prince George`s,168691,62955,23355,913,853,0,0,0,1,13,0,0,74,0,1,0,0,0,0,3
Queen Anne`s,4668,6829,2958,26,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Mary`s,8931,11485,4550,49,66,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
Somerset,3210,3450,1230,15,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Talbot,4642,6774,2233,27,30,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Washington,16495,21977,7537,178,17,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0
Wicomico,11481,13560,5140,43,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Worcester,6040,7237,3256,19,4,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
U.S. Senator - Vote For One - ,,,,,,,,,,,,,,,,,,,,
,Barbara A. Mikulski (Democratic) Winner,Alan L. Keyes (Republican),Joan Bowman (Other),John Clapp (Other),John Gaige (Other),Tomas Estrada Palma (Other),Jon Thompson (Other),Gene Zarewell (Other),,,,,,,,,,,,
Allegany,16872,9199,0,0,0,1,0,0,,,,,,,,,,,,
Anne Arundel,121290,59512,5,7,62,59,0,62,,,,,,,,,,,,
Baltimore City,196086,29834,0,0,14,9,0,0,,,,,,,,,,,,
Baltimore ,208164,85374,0,0,0,0,1,0,,,,,,,,,,,,
Calvert,11980,7781,0,0,0,0,0,0,,,,,,,,,,,,
Caroline,4622,2531,0,0,1,0,0,0,,,,,,,,,,,,
